Grouping,Description,Scenarios
Drinking water,"Whether people and communities can reliably access safe drinking water for daily life, health, and essential services","20, 35, 36, 37"
Groundwater,"Whether agricultural water deliveries can sustain food protection, while preventing over-draft of groundwater basins","20, 25, 26, 27, 28, 32, 33"
Environment,"Whether rivers, salmon, and the Delta estuary receive the flows they need to remain functional and resilient","20, 30, 46, 32, 31, 39"
Delta,"Whether the Delta is a place where communities, farms, and ecosystems coexist and thrive","20, 40, 39, 44, 45, 46, 65"
Operations and impacts,"How water management decisions affect trade-offs, equity and resilience","20, 21, 24, 23"
Drinking water CC50,"Whether people and communities can reliably access safe drinking water for daily life, health, and essential services; CC50 Climate","47, 75, 76, 77"
Groundwater CC50,"Whether agricultural water deliveries can sustain food protection, while preventing over-draft of groundwater basins; CC50 Climate","47, 67, 68, 62, 69, 73, 74"
Environment CC50,"Whether rivers, salmon, and the Delta estuary receive the flows they need to remain functional and resilient; CC50 Climate","47, 71, 84, 73, 72, 78"
Delta CC50,"Whether the Delta is a place where communities, farms, and ecosystems coexist and thrive; CC50 Climate","47, 79, 78, 82, 83, 84, 85"
Operations and impacts CC50,"How water management decisions affect trade-offs, equity and resilience; CC50 Climate","47, 49, 50, 51"
Drinking water CC95,"Whether people and communities can reliably access safe drinking water for daily life, health, and essential services; CC95 Climate","56, 95, 96, 97"
Groundwater CC95,"Whether agricultural water deliveries can sustain food protection, while preventing over-draft of groundwater basins; CC95 Climate","56, 87, 88, 89, 27, 93, 94"
Environment CC95,"Whether rivers, salmon, and the Delta estuary receive the flows they need to remain functional and resilient; CC95 Climate","56, 91, 104, 93, 92, 98"
Delta CC95,"Whether the Delta is a place where communities, farms, and ecosystems coexist and thrive; CC95 Climate","56, 99, 98, 102, 103, 104, 105"
Operations and impacts CC95,"How water management decisions affect trade-offs, equity and resilience; CC95 Climate","56, 58, 59, 60"
